hour, minute, second, azimuth angle (relative to west=0)/degree, elevation angle/degree, power/mW
10,38,3,0,0,56
10,38,7,0,15,57
10,38,10,0,30,59
10,38,14,0,45,57
10,38,16,0,60,83
10,38,19,0,75,89
10,38,23,0,90,107
10,38,26,18,0,61
10,38,30,18,15,41
10,38,33,18,30,47
10,38,36,18,45,50
10,38,39,18,60,49
10,38,42,18,75,49
10,38,45,18,90,90
10,38,48,36,0,233
10,38,53,36,15,283
10,38,56,36,30,324
10,38,59,36,45,346
10,39,2,36,60,333
10,39,5,36,75,88
10,39,8,36,90,217
10,39,11,54,0,346
10,39,16,54,15,346
10,39,19,54,30,347
10,39,22,54,45,338
10,39,25,54,60,330
10,39,28,54,75,310
10,39,31,54,90,225
10,39,34,72,0,365
10,39,39,72,15,365
10,39,42,72,30,360
10,39,45,72,45,353
10,39,48,72,60,341
10,39,51,72,75,300
10,39,54,72,90,215
10,39,57,90,0,356
10,40,2,90,15,361
10,40,5,90,30,357
10,40,8,90,45,355
10,40,11,90,60,345
10,40,14,90,75,306
10,40,17,90,90,217
10,40,20,108,0,348
10,40,25,108,15,351
10,40,28,108,30,349
10,40,31,108,45,346
10,40,34,108,60,331
10,40,37,108,75,292
10,40,40,108,90,217
10,40,43,126,0,320
10,40,48,126,15,322
10,40,51,126,30,325
10,40,54,126,45,321
10,40,57,126,60,304
10,41,0,126,75,270
10,41,3,126,90,219
10,41,6,144,0,228
10,41,11,144,15,245
10,41,14,144,30,255
10,41,17,144,45,260
10,41,20,144,60,254
10,41,23,144,75,243
10,41,26,144,90,216
10,41,29,162,0,160
10,41,34,162,15,147
10,41,37,162,30,152
10,41,40,162,45,172
10,41,43,162,60,189
10,41,46,162,75,204
10,41,49,162,90,212
10,41,52,180,0,150
10,41,57,180,15,135
10,42,0,180,30,112
10,42,3,180,45,99
10,42,6,180,60,124
10,42,9,180,75,166
10,42,12,180,90,207
10,48,3,0,0,177
10,48,8,0,15,207
10,48,11,0,30,227
10,48,14,0,45,222
10,48,17,0,60,213
10,48,20,0,75,216
10,48,23,0,90,208
10,48,26,18,0,341
10,48,31,18,15,357
10,48,34,18,30,364
10,48,37,18,45,358
10,48,40,18,60,345
10,48,43,18,75,294
10,48,46,18,90,203
10,48,49,36,0,314
10,48,54,36,15,316
10,48,57,36,30,312
10,49,0,36,45,292
10,49,3,36,60,273
10,49,6,36,75,240
10,49,9,36,90,193
10,49,12,54,0,347
10,49,16,54,15,355
10,49,19,54,30,360
10,49,22,54,45,353
10,49,25,54,60,343
10,49,28,54,75,316
10,49,31,54,90,248
10,49,34,72,0,372
10,49,39,72,15,377
10,49,42,72,30,377
10,49,45,72,45,375
10,49,48,72,60,367
10,49,51,72,75,346
10,49,54,72,90,277
10,49,57,90,0,369
10,50,2,90,15,371
10,50,5,90,30,375
10,50,8,90,45,366
10,50,11,90,60,356
10,50,14,90,75,335
10,50,17,90,90,267
10,50,20,108,0,345
10,50,25,108,15,353
10,50,28,108,30,354
10,50,31,108,45,351
10,50,34,108,60,341
10,50,37,108,75,314
10,50,40,108,90,252
10,50,43,126,0,274
10,50,48,126,15,288
10,50,51,126,30,285
10,50,54,126,45,258
10,50,57,126,60,239
10,51,0,126,75,226
10,51,3,126,90,209
10,51,6,144,0,157
10,51,11,144,15,171
10,51,14,144,30,189
10,51,17,144,45,203
10,51,20,144,60,213
10,51,23,144,75,219
10,51,26,144,90,224
10,51,29,162,0,158
10,51,34,162,15,142
10,51,37,162,30,119
10,51,40,162,45,115
10,51,43,162,60,137
10,51,46,162,75,170
10,51,49,162,90,200
10,51,52,180,0,154
10,51,57,180,15,140
10,52,0,180,30,115
10,52,3,180,45,88
10,52,6,180,60,78
10,52,9,180,75,126
10,52,12,180,90,188
10,57,27,0,0,328
10,57,31,0,15,339
10,57,34,0,30,345
10,57,37,0,45,344
10,57,40,0,60,336
10,57,43,0,75,318
10,57,46,0,90,271
10,57,49,18,0,356
10,57,54,18,15,363
10,57,57,18,30,367
10,58,0,18,45,360
10,58,3,18,60,355
10,58,6,18,75,333
10,58,9,18,90,281
10,58,12,36,0,370
10,58,17,36,15,372
10,58,20,36,30,371
10,58,23,36,45,367
10,58,26,36,60,359
10,58,29,36,75,342
10,58,32,36,90,280
10,58,35,54,0,368
10,58,39,54,15,372
10,58,42,54,30,375
10,58,45,54,45,368
10,58,48,54,60,357
10,58,51,54,75,338
10,58,54,54,90,277
10,58,57,72,0,367
10,59,2,72,15,369
10,59,5,72,30,369
10,59,8,72,45,366
10,59,11,72,60,358
10,59,14,72,75,337
10,59,17,72,90,278
10,59,20,90,0,362
10,59,25,90,15,362
10,59,28,90,30,363
10,59,31,90,45,357
10,59,34,90,60,348
10,59,37,90,75,330
10,59,40,90,90,270
10,59,43,108,0,347
10,59,48,108,15,349
10,59,51,108,30,351
10,59,54,108,45,349
10,59,57,108,60,341
11,0,0,108,75,316
11,0,3,108,90,266
11,0,6,126,0,290
11,0,11,126,15,309
11,0,14,126,30,320
11,0,17,126,45,315
11,0,20,126,60,306
11,0,23,126,75,286
11,0,26,126,90,251
11,0,29,144,0,189
11,0,34,144,15,201
11,0,37,144,30,221
11,0,40,144,45,233
11,0,43,144,60,240
11,0,46,144,75,241
11,0,49,144,90,237
11,0,52,162,0,165
11,0,57,162,15,147
11,1,0,162,30,123
11,1,3,162,45,129
11,1,6,162,60,160
11,1,9,162,75,192
11,1,12,162,90,225
11,1,15,180,0,160
11,1,20,180,15,139
11,1,23,180,30,119
11,1,26,180,45,99
11,1,29,180,60,99
11,1,32,180,75,145
11,1,35,180,90,205
11,6,50,0,0,133
11,6,54,0,15,141
11,6,57,0,30,148
11,7,0,0,45,146
11,7,3,0,60,140
11,7,6,0,75,125
11,7,9,0,90,110
11,7,12,18,0,155
11,7,17,18,15,163
11,7,20,18,30,166
11,7,23,18,45,162
11,7,26,18,60,153
11,7,29,18,75,133
11,7,32,18,90,110
11,7,35,36,0,162
11,7,40,36,15,167
11,7,43,36,30,170
11,7,46,36,45,162
11,7,49,36,60,152
11,7,52,36,75,133
11,7,55,36,90,109
11,7,58,54,0,162
11,8,3,54,15,167
11,8,6,54,30,168
